query_length,subdomain_count,packet_size,label
38,4,97,0
38,4,97,0
41,4,100,0
41,4,100,0
21,2,80,0
21,2,80,0
21,2,80,0
21,2,80,0
28,3,87,0
28,3,87,0
23,2,82,0
23,2,82,0
33,4,92,0
33,4,92,0
18,2,77,0
18,2,77,0
12,1,71,0
12,1,71,0
38,4,97,0
38,4,97,0
41,4,100,0
41,4,100,0
28,2,87,0
28,2,87,0
23,2,82,0
23,2,82,0
23,2,82,0
23,2,82,0
18,2,77,0
18,2,77,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
24,2,83,0
20,2,79,0
20,2,79,0
23,2,82,0
23,2,82,0
25,5,84,0
17,2,76,0
17,2,76,0
17,2,76,0
17,2,76,0
25,5,84,0
17,2,76,0
17,2,76,0
17,2,76,0
17,2,76,0
18,2,77,0
18,2,77,0.0
18,2,77,0
18,2,77,0.0
23,2,82,0
23,2,82,0.0
23,2,82,0
23,2,82,0.0
25,5,84,0
25,5,84,0.0
17,2,76,0
17,2,76,0.0
17,2,76,0
17,2,76,0.0
17,2,76,0
17,2,76,0.0
17,2,76,0
17,2,76,0.0
25,5,84,0
25,5,84,0.0
17,2,76,0
17,2,76,0.0
17,2,76,0
17,2,76,0.0
17,2,76,0
17,2,76,0.0
17,2,76,0
17,2,76,0.0
22,3,81,0
22,3,81,0.0
22,3,81,0
22,3,81,0.0
38,4,97,0
38,4,97,0
38,4,97,0.0
38,4,97,0.0
41,4,100,0
41,4,100,0
41,4,100,0.0
41,4,100,0.0
23,2,82,0
23,2,82,0
23,2,82,0.0
23,2,82,0.0
33,4,92,0
33,4,92,0
33,4,92,0.0
33,4,92,0.0
33,4,92,0
33,4,92,0.0
33,4,92,0
33,4,92,0.0
26,3,85,0
26,3,85,0.0
21,2,80,0
21,2,80,0.0
25,2,84,0
25,2,84,0.0
25,2,84,0
25,2,84,0
25,2,84,0
25,2,84,0.0
25,2,84,0.0
25,2,84,0.0
23,2,82,0
23,2,82,0
23,2,82,0.0
23,2,82,0.0
33,4,92,0
